Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"HIGD1AP13","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 13","Pseudogene","","9","GC04M078648","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP13"
"HIGD1AP10","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 10","Pseudogene","","8","GC11M139763","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP10"
"HIGD1AP11","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 11","Pseudogene","","8","GC01M053084","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP11"
"HIGD1AP16","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 16","Pseudogene","","8","GC20P053274","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP16"
"HIGD1AP5","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 5","Pseudogene","","8","GC11P018106","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP5"
"HIGD1AP12","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 12","Pseudogene","","7","GC01P111380","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP12"
"HIGD1AP15","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 15","Pseudogene","","7","GC20P010334","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP15"
"HIGD1AP2","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 2","Pseudogene","","7","GC13P081272","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP2"
"HIGD1AP3","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 3","Pseudogene","","7","GC05P174632","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP3"
"HIGD1AP4","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 4","Pseudogene","","7","GC02M223398","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP4"
"HIGD1AP8","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 8","Pseudogene","","7","GC12P011481","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP8"
"HIGD1AP14","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 14","Pseudogene","","6","GC04P109673","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP14"
"HIGD1AP17","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 17","Pseudogene","","6","GC14P030964","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP17"
"HIGD1AP6","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 6","Pseudogene","","6","GC08P075302","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP6"
"HIGD1AP9","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 9","Pseudogene","","6","GC12P049619","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP9"
"HIGD1AP7","HIG1 Hypoxia Inducible Domain Family Member 1A Pseudogene 7","Pseudogene","","5","GC07P040115","10.3217353820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1AP7"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P181893","10.2762155532837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","67","GC03P041194","10.2369365692139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","28","GC02P233275","10.0121927261353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"HMOX1","Heme Oxygenase 1","Protein Coding","P09601","65","GC22P035380","9.95803833007813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","9.94729518890381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","9.74157905578613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"NHIP","Neuronal Hypoxia Inducible, Placenta Associated","RNA Gene","","10","GC22M086974","9.71264839172363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHIP"
"KDR","Kinase Insert Domain Receptor","Protein Coding","P35968","67","GC04M055078","9.71142864227295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","62","GC01M058780","9.67851638793945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"EGLN1P1","Egl-9 Family Hypoxia Inducible Factor 1 Pseudogene 1","Pseudogene","","7","GC15P084633","9.55912494659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN1P1"
"EGLN3P1","Egl-9 Family Hypoxia-Inducible Factor 3 Pseudogene 1","Pseudogene","","7","GC12M015971","9.55912494659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN3P1"
"ENSG00000254591","HIG1 Hypoxia Inducible Domain Family (HIG1) Pseudogene","Pseudogene","","4","GC11P127657","9.55912494659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000254591"
"ENSG00000271291","HIG1 Hypoxia Inducible Domain Family, Member 1C (HIGD1C) Pseudogene","Pseudogene","","4","GC01M145269","9.55912494659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000271291"
"ENSG00000271455","HIG1 Hypoxia Inducible Domain Family, Member 1A (HIGD1A) Pseudogene","Pseudogene","","4","GC05P050603","9.55912494659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000271455"
"ENSG00000270577","HIG1 Hypoxia Inducible Domain Family, Member 1A (HIGD1A) Pseudogene","Pseudogene","","3","GC07P041376","9.55912494659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000270577"
"ENSG00000271439","HIG1 Hypoxia Inducible Domain Family, Member 1C (HIGD1C) Pseudogene","Pseudogene","","2","GC01M144401","9.55912494659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000271439"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","20","GC06M159772","9.34639072418213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"EDN1","Endothelin 1","Protein Coding","P05305","61","GC06P012910","9.33894920349121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","37","GC11M001995","9.28496551513672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056444","9.22943496704102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","67","GC17M042313","9.07950115203857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CITED2","Cbp/P300 Interacting Transactivator With Glu/Asp Rich Carboxy-Terminal Domain 2","Protein Coding","Q99967","55","GC06M139371","9.02209091186523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CITED2"
"CREBBP","CREB Binding Protein","Protein Coding","Q92793","67","GC16M049995","9.0083475112915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","62","GC17M027756","8.97827911376953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","8.95680809020996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","34","GC19P151538","8.94760704040527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","57","GC04P073740","8.91477584838867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","P02452","62","GC17M097561","8.81593322753906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","P35354","62","GC01M186671","8.71816539764404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"DDIT4","DNA Damage Inducible Transcript 4","Protein Coding","Q9NX09","55","GC10P072273","8.662109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDIT4"
"ADM","Adrenomedullin","Protein Coding","P35318","57","GC11P021130","8.6468620300293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","8.57885360717773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"CREB1","CAMP Responsive Element Binding Protein 1","Protein Coding","P16220","62","GC02P207529","8.56843757629395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","8.48966884613037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","8.48965930938721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"PDK1","Pyruvate Dehydrogenase Kinase 1","Protein Coding","Q15118","60","GC02P172555","8.46887588500977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDK1"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","62","GC07P165997","8.2689733505249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","8.0275936126709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"CUL2","Cullin 2","Protein Coding","Q13617","55","GC10M037222","7.89873647689819","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL2"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","7.77008438110352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","62","GC17P034255","7.67230081558228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"CCN2","Cellular Communication Network Factor 2","Protein Coding","P29279","58","GC06M131948","7.61848211288452","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2"
"JAK2","Janus Kinase 2","Protein Coding","O60674","66","GC09P004985","7.59701728820801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"PGF","Placental Growth Factor","Protein Coding","P49763","56","GC14M074941","7.57057285308838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","P17948","64","GC13M028300","7.51749229431152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"CASP9","Caspase 9","Protein Coding","P55211","61","GC01M022575","7.49304389953613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","63","GC07P101127","7.39756536483765","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","7.38636589050293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","P08253","66","GC16P121565","7.35888528823853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","7.34064102172852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","P27361","62","GC16M051076","7.22016859054565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3"
"COL2A1","Collagen Type II Alpha 1 Chain","Protein Coding","P02458","62","GC12M047972","7.20561265945435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL2A1"
"NDRG1","N-Myc Downstream Regulated 1","Protein Coding","Q92597","57","GC08M133237","7.1669979095459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDRG1"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","7.11855554580688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"ELOC","Elongin C","Protein Coding","Q15369","54","GC08M073939","7.07429504394531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOC"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","64","GC14M102080","7.06370067596436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"NDP","Norrin Cystine Knot Growth Factor NDP","Protein Coding","Q00604","54","GC0XM043948","7.03301048278809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP"
"HIPK2","Homeodomain Interacting Protein Kinase 2","Protein Coding","Q9H2X6","57","GC07M139561","7.02515649795532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIPK2"
"MIR20A","MicroRNA 20a","RNA Gene","","29","GC13P091744","6.9996018409729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A"
"TIGAR","TP53 Induced Glycolysis Regulatory Phosphatase","Protein Coding","Q9NQ88","51","GC12P074005","6.97274589538574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIGAR"
"VEGFC","Vascular Endothelial Growth Factor C","Protein Coding","P49767","60","GC04M176683","6.91677236557007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFC"
"ANGPT2","Angiopoietin 2","Protein Coding","O15123","61","GC08M006499","6.90783882141113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2"
"NGB","Neuroglobin","Protein Coding","Q9NPG2","51","GC14M077265","6.87043809890747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGB"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","P14780","66","GC20P046008","6.86447525024414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","Q16539","64","GC06P182012","6.84748649597168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
"CD274","CD274 Molecule","Protein Coding","Q9NZQ7","58","GC09P005450","6.79367256164551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","61","GC01M022674","6.75997447967529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","P48736","62","GC07P106865","6.7408618927002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"CYB5R3","Cytochrome B5 Reductase 3","Protein Coding","P00387","57","GC22M086164","6.73853349685669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R3"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","P09038","59","GC04P122826","6.69945526123047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","6.69592523574829","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"RORA","RAR Related Orphan Receptor A","Protein Coding","P35398","61","GC15M060488","6.65434551239014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORA"
"SP1","Sp1 Transcription Factor","Protein Coding","P08047","60","GC12P053380","6.64122152328491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1"
"REST","RE1 Silencing Transcription Factor","Protein Coding","Q13127","55","GC04P056907","6.64053297042847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REST"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","64","GC02M177227","6.61765480041504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"LOC107303340","3p25 Von Hippel-Lindau Tumor Suppressor, E3 Ubiquitin Protein Ligase Alu-Mediated Recombination Region","Functional Element","","10","GC03P027021","6.60049962997437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107303340"
"SIAH2","Siah E3 Ubiquitin Protein Ligase 2","Protein Coding","O43255","55","GC03M150741","6.56645059585571","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAH2"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","6.5570502281189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","66","GC21P031659","6.54648876190186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"RWDD3","RWD Domain Containing 3","Protein Coding","Q9Y3V2","41","GC01P095235","6.48635387420654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RWDD3"
"ANGPTL4","Angiopoietin Like 4","Protein Coding","Q9BY76","56","GC19P008363","6.46139812469482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL4"
"SFTPC","Surfactant Protein C","Protein Coding","P11686","52","GC08P022156","6.40981340408325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPC"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","P48061","59","GC10M044370","6.40090465545654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"TEK","TEK Receptor Tyrosine Kinase","Protein Coding","Q02763","64","GC09P027109","6.39421081542969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEK"
"LRP5","LDL Receptor Related Protein 5","Protein Coding","O75197","62","GC11P068298","6.38431882858276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP5"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","P29475","62","GC12M117208","6.38257455825806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"EPOR","Erythropoietin Receptor","Protein Coding","P19235","61","GC19M011377","6.32759571075439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPOR"
"MB","Myoglobin","Protein Coding","P02144","58","GC22M035606","6.31180763244629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MB"
"FAM162A","Family With Sequence Similarity 162 Member A","Protein Coding","Q96A26","41","GC03P122384","6.29571628570557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM162A"
"THBS1","Thrombospondin 1","Protein Coding","P07996","59","GC15P039581","6.27824258804321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS1"
"EGR1","Early Growth Response 1","Protein Coding","P18146","57","GC05P138465","6.26548290252686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGR1"
"FUNDC1","FUN14 Domain Containing 1","Protein Coding","Q8IVP5","47","GC0XM044523","6.24571084976196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUNDC1"
"RELA","RELA Proto-Oncogene, NF-KB Subunit","Protein Coding","Q04206","64","GC11M065653","6.23592758178711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA"
"PSMA7","Proteasome 20S Subunit Alpha 7","Protein Coding","O14818","57","GC20M062136","6.12416696548462","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA7"
"MGARP","Mitochondria Localized Glutamic Acid Rich Protein","Protein Coding","Q8TDB4","38","GC04M139266","6.11817169189453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGARP"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","P10451","57","GC04P087975","6.10690689086914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","64","GC19P048954","6.08923530578613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"SIRT1","Sirtuin 1","Protein Coding","Q96EB6","62","GC10P067884","6.06626510620117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","66","GC09M139264","6.05592489242554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"PGR-AS1","PGR Antisense RNA 1","RNA Gene","","20","GC11P108894","6.04785776138306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR-AS1"
"MIR451A","MicroRNA 451a","RNA Gene","","25","GC17M028861","5.98856496810913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A"
"PFKFB4","6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 4","Protein Coding","Q16877","54","GC03M048517","5.98082304000854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKFB4"
"ENG","Endoglin","Protein Coding","P17813","60","GC09M131710","5.97592067718506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","65","GC03P179148","5.95738983154297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
