Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"EP300","E1A Binding Protein P300","Protein Coding","Q09472","65","GC22P092249","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"CAMK2B","Calcium/Calmodulin Dependent Protein Kinase II Beta","Protein Coding","Q13554","62","GC07M045687","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2B"
"CAMK2D","Calcium/Calmodulin Dependent Protein Kinase II Delta","Protein Coding","Q13557","62","GC04M113418","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2D"
"CAMK2G","Calcium/Calmodulin Dependent Protein Kinase II Gamma","Protein Coding","Q13555","62","GC10M073812","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G"
"NUP214","Nucleoporin 214","Protein Coding","P35658","58","GC09P131125","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP214"
"NUP62","Nucleoporin 62","Protein Coding","P37198","58","GC19M049906","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP62"
"NUP98","Nucleoporin 98 And 96 Precursor","Protein Coding","P52948","58","GC11M003671","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP98"
"RANBP2","RAN Binding Protein 2","Protein Coding","P49792","57","GC02P108719","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RANBP2"
"RPTOR","Regulatory Associated Protein Of MTOR Complex 1","Protein Coding","Q8N122","57","GC17P080544","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPTOR"
"MLST8","MTOR Associated Protein, LST8 Homolog","Protein Coding","Q9BVC4","54","GC16P002204","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLST8"
"NUP133","Nucleoporin 133","Protein Coding","Q8WUM0","54","GC01M230670","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP133"
"NUP153","Nucleoporin 153","Protein Coding","P49790","54","GC06M017615","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP153"
"AKT1S1","AKT1 Substrate 1","Protein Coding","Q96B36","52","GC19M049869","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1S1"
"BAG2","BAG Cochaperone 2","Protein Coding","O95816","52","GC06P057172","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG2"
"NUP160","Nucleoporin 160","Protein Coding","Q12769","52","GC11M139464","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP160"
"NUP205","Nucleoporin 205","Protein Coding","Q92621","52","GC07P135557","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP205"
"NUP50","Nucleoporin 50","Protein Coding","Q9UKX7","52","GC22P045163","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP50"
"NUP85","Nucleoporin 85","Protein Coding","Q9BW27","52","GC17P075205","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP85"
"RAE1","Ribonucleic Acid Export 1","Protein Coding","P78406","52","GC20P057351","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAE1"
"RPA3","Replication Protein A3","Protein Coding","P35244","52","GC07M009910","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA3"
"AAAS","Aladin WD Repeat Nucleoporin","Protein Coding","Q9NRG9","51","GC12M053307","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAAS"
"BAG5","BAG Cochaperone 5","Protein Coding","Q9UL15","51","GC14M103556","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG5"
"HSPA13","Heat Shock Protein Family A (Hsp70) Member 13","Protein Coding","P48723","51","GC21M015737","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA13"
"NUP210","Nucleoporin 210","Protein Coding","Q8TEM1","51","GC03M028666","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP210"
"NUP54","Nucleoporin 54","Protein Coding","Q7Z3B4","51","GC04M076114","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP54"
"ST13","ST13 Hsp70 Interacting Protein","Protein Coding","P50502","51","GC22M086151","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST13"
"NUP188","Nucleoporin 188","Protein Coding","Q5SRE5","50","GC09P128947","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP188"
"CCAR2","Cell Cycle And Apoptosis Regulator 2","Protein Coding","Q8N163","49","GC08P022604","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR2"
"HSPA12A","Heat Shock Protein Family A (Hsp70) Member 12A","Protein Coding","O43301","47","GC10M116671","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA12A"
"BAG4","BAG Cochaperone 4","Protein Coding","O95429","46","GC08P038176","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG4"
"DNAJC2","DnaJ Heat Shock Protein Family (Hsp40) Member C2","Protein Coding","Q99543","46","GC07M103312","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC2"
"POM121","POM121 Transmembrane Nucleoporin","Protein Coding","Q96HA1","46","GC07P072879","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POM121"
"NUP42","Nucleoporin 42","Protein Coding","O15504","45","GC07P024805","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP42"
"NUP58","Nucleoporin 58","Protein Coding","Q9BVL2","45","GC13P028863","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP58"
"NUP43","Nucleoporin 43","Protein Coding","Q8NFH3","42","GC06M149724","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP43"
"RPS19BP1","Ribosomal Protein S19 Binding Protein 1","Protein Coding","Q86WX3","42","GC22M086147","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS19BP1"
"HSBP1","Heat Shock Factor Binding Protein 1","Protein Coding","O75506","41","GC16P083719","2.89062881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSBP1"
"TRV-AAC1-4","TRNA-Val (Anticodon AAC) 1-4","RNA Gene","","8","GC05M181218","2.7667179107666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRV-AAC1-4"
"LMNA","Lamin A/C","Protein Coding","P02545","63","GC01P156082","2.69664549827576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","62","GC07P165997","2.63763523101807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"MIR146B","MicroRNA 146b","RNA Gene","","29","GC10P102436","2.614089012146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B"
"HSF2","Heat Shock Transcription Factor 2","Protein Coding","Q03933","51","GC06P122399","2.59271192550659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF2"
"TRA-TGC7-1","TRNA-Ala (Anticodon TGC) 7-1","RNA Gene","","14","GC06M106311","2.46509051322937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA-TGC7-1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","2.35808897018433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"CYCS","Cytochrome C, Somatic","Protein Coding","P99999","61","GC07M025118","2.31803154945374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"STMN1","Stathmin 1","Protein Coding","P16949","57","GC01M025884","2.22537899017334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STMN1"
"STUB1","STIP1 Homology And U-Box Containing Protein 1","Protein Coding","Q9UNE7","58","GC16P120117","2.14177012443542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STUB1"
"MT-TP","Mitochondrially Encoded TRNA-Pro (CCN)","RNA Gene","","19","GCMTM015957","2.11694931983948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","34","GC19P151538","2.09097218513489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","2.06709742546082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","P45983","62","GC10P048306","2.04717779159546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","64","GC02M177227","2.02538871765137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"ANXA2P2","Annexin A2 Pseudogene 2","Pseudogene","A6NMY6","30","GC09P074493","2.0010232925415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2P2"
"IL1RAPL2","Interleukin 1 Receptor Accessory Protein Like 2","Protein Coding","Q9NP60","51","GC0XP104566","1.99144697189331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RAPL2"
"AIFM1","Apoptosis Inducing Factor Mitochondria Associated 1","Protein Coding","O95831","63","GC0XM130129","1.97257351875305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM1"
"ADCYAP1R1","ADCYAP Receptor Type I","Protein Coding","P41586","57","GC07P031058","1.94635045528412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCYAP1R1"
"VIPR2","Vasoactive Intestinal Peptide Receptor 2","Protein Coding","P41587","57","GC07M159028","1.94635045528412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIPR2"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","1.93390572071075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"HSPB2","Heat Shock Protein Family B (Small) Member 2","Protein Coding","Q16082","51","GC11P113461","1.91180324554443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB2"
"EIF5A","Eukaryotic Translation Initiation Factor 5A","Protein Coding","P63241","56","GC17P007306","1.90244710445404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF5A"
"SOD2","Superoxide Dismutase 2","Protein Coding","P04179","61","GC06M159669","1.88889622688293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"TRPV1","Transient Receptor Potential Cation Channel Subfamily V Member 1","Protein Coding","Q8NER1","61","GC17M003565","1.88889622688293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV1"
"SLC8A1","Solute Carrier Family 8 Member A1","Protein Coding","P32418","57","GC02M040078","1.88889622688293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A1"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","Q9NRA2","58","GC06M073593","1.88564074039459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","P06881","57","GC11M014966","1.84026908874512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"PWAR1","Prader Willi/Angelman Region RNA 1","RNA Gene","","22","GC15P025135","1.83091294765472","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1"
"AR","Androgen Receptor","Protein Coding","P10275","65","GC0XP067544","1.81312298774719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"DUSP19","Dual Specificity Phosphatase 19","Protein Coding","Q8WTR2","49","GC02P183078","1.78698015213013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP19"
"TRE-TTC3-1","TRNA-Glu (Anticodon TTC) 3-1","RNA Gene","","17","GC01P075884","1.77762413024902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRE-TTC3-1"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","Q16539","64","GC06P182012","1.74874782562256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
"NPM1","Nucleophosmin 1","Protein Coding","P06748","63","GC05P171387","1.72735905647278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPM1"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","62","GC17M027756","1.72735905647278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"TRD-GTC9-1","TRNA-Asp (Anticodon GTC) 9-1","RNA Gene","","14","GC01P177022","1.72735905647278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRD-GTC9-1"
"RPSA","Ribosomal Protein SA","Protein Coding","P08865","59","GC03P039406","1.69432771205902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPSA"
"KPNB1","Karyopherin Subunit Beta 1","Protein Coding","Q14974","57","GC17P047649","1.69432771205902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNB1"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","P24298","55","GC08P144502","1.69432771205902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"RPLP0","Ribosomal Protein Lateral Stalk Subunit P0","Protein Coding","P05388","55","GC12M120196","1.69432771205902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP0"
"HMOX1","Heme Oxygenase 1","Protein Coding","P09601","65","GC22P035380","1.68497157096863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"OGT","O-Linked N-Acetylglucosamine (GlcNAc) Transferase","Protein Coding","O15294","60","GC0XP072033","1.68497157096863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGT"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","1.67836940288544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"TP53INP1","Tumor Protein P53 Inducible Nuclear Protein 1","Protein Coding","Q96A56","49","GC08M094925","1.65840816497803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53INP1"
"SF3A3","Splicing Factor 3a Subunit 3","Protein Coding","Q12874","47","GC01M037956","1.65840816497803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3A3"
"PWP1","PWP1 Homolog, Endonuclein","Protein Coding","Q13610","45","GC12P107685","1.65840816497803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWP1"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","28","GC02P233275","1.65840816497803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"HSP90B1","Heat Shock Protein 90 Beta Family Member 1","Protein Coding","P14625","60","GC12P103930","1.64905214309692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90B1"
"MAP3K2","Mitogen-Activated Protein Kinase Kinase Kinase 2","Protein Coding","Q9Y2U5","57","GC02M127298","1.64905214309692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K2"
"MIR3613","MicroRNA 3613","RNA Gene","","22","GC13M049996","1.64905214309692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3613"
"CDK1","Cyclin Dependent Kinase 1","Protein Coding","P06493","60","GC10P060772","1.61867737770081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1"
"PRL","Prolactin","Protein Coding","P01236","56","GC06M022287","1.61867737770081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL"
"PPM1G","Protein Phosphatase, Mg2+/Mn2+ Dependent 1G","Protein Coding","O15355","51","GC02M029244","1.61867737770081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1G"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","P29475","62","GC12M117208","1.61399435997009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"PLK1","Polo Like Kinase 1","Protein Coding","P53350","64","GC16P120729","1.60932123661041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK1"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","1.59387624263763","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","67","GC03P041194","1.57358074188232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
